FEATURE,DATASET,EXPERIMENT,FINE_TUNING,eval_loss,f1 score
Feature 10,3,1,fine_tuning 1,0.358223915230208,0.73688517881987
Feature 10,3,1,fine_tuning 2,0.3132423780908164,0.749037334672693
Feature 10,3,2,fine_tuning 1,0.425732851434184,0.721609886439545
Feature 10,3,2,fine_tuning 2,0.3974826539941953,0.743463369810375
Feature 10,4,1,fine_tuning 1,0.3283059125131,0.739776653008757
Feature 10,4,1,fine_tuning 2,0.308097343028588,0.750881219772112
Feature 10,4,2,fine_tuning 1,0.49707088370804,0.692968554508299
Feature 10,4,2,fine_tuning 2,0.4138294153603697,0.748933265062297
Feature 11,1,1,fine_tuning 1,0.283907872842974,0.796863141917531
Feature 11,1,1,fine_tuning 2,0.2767681013844112,0.782484210526315
Feature 11,1,2,fine_tuning 1,0.40674166075512,0.729789864029666
Feature 11,1,2,fine_tuning 2,0.3952098957439268,0.7473474801061
Feature 11,2,1,fine_tuning 1,0.273641631845213,0.78912021490933
Feature 11,2,1,fine_tuning 2,0.2485373320506529,0.803280060246004
Feature 11,2,2,fine_tuning 1,0.373520335798,0.746806912096168
Feature 11,2,2,fine_tuning 2,0.3457248723844874,0.746468401486988
Feature 11,3,1,fine_tuning 1,0.2896379052476464,0.789394193656653
Feature 11,3,1,fine_tuning 2,0.262768999735057,0.794319131161236
Feature 11,3,2,fine_tuning 1,0.422841808389742,0.730677225109296
Feature 11,3,2,fine_tuning 2,0.36491286093352,0.74534777934
Feature 11,4,1,fine_tuning 1,0.2616404424192938,0.790599015781435
Feature 11,4,1,fine_tuning 2,0.2589784543122411,0.796781024989411
Feature 11,4,2,fine_tuning 1,0.387593960022273,0.739804709936817
Feature 11,4,2,fine_tuning 2,0.38146617477811,0.74378554021121
Feature 12,1,1,fine_tuning 1,0.3776613612987121,0.750498007968127
Feature 12,1,1,fine_tuning 2,0.332556627893662,0.784646396774735
Feature 12,1,2,fine_tuning 1,0.60263644666274,0.661564764308393
Feature 12,1,2,fine_tuning 2,0.3700417439514935,0.72300391307967
Feature 12,2,1,fine_tuning 1,0.4630227468309492,0.741109176821686
Feature 12,2,1,fine_tuning 2,0.304800276748103,0.76726553486072
Feature 12,2,2,fine_tuning 1,0.517162216844393,0.669583883751651
Feature 12,2,2,fine_tuning 2,0.4331743268053,0.718622639940114
Feature 12,3,1,fine_tuning 1,0.401605203766153,0.750783440540986
Feature 12,3,1,fine_tuning 2,0.3124569282697527,0.752405229833072
Feature 12,3,2,fine_tuning 1,0.60771707793773,0.635282457879088
Feature 12,3,2,fine_tuning 2,0.427432241095469,0.722452782247819
Feature 12,4,1,fine_tuning 1,0.3312342481444562,0.758733803509922
Feature 12,4,1,fine_tuning 2,0.293571880266159,0.777916979871377
Feature 12,4,2,fine_tuning 1,0.435338556240929,0.7213500125934
Feature 12,4,2,fine_tuning 2,0.422006360428092,0.7432295192958
Feature 13,1,1,fine_tuning 1,0.286965168577701,0.770875923887403
Feature 13,1,1,fine_tuning 2,0.2501320595012443,0.804603212658834
Feature 13,1,2,fine_tuning 1,0.3300132444419432,0.782608695652173
Feature 13,1,2,fine_tuning 2,0.281340223881296,0.796864899806076
Feature 13,2,1,fine_tuning 1,0.260860483951332,0.787055858199853
Feature 13,2,1,fine_tuning 2,0.2483812603895785,0.783290239172592
Feature 13,2,2,fine_tuning 1,0.33217612363446,0.754637505062778
Feature 13,2,2,fine_tuning 2,0.25263562771793,0.806301526406007
Feature 13,3,1,fine_tuning 1,0.274879592390361,0.7811542991755
Feature 13,3,1,fine_tuning 2,0.2429878167886807,0.802266110630262
Feature 13,3,2,fine_tuning 1,0.3259010888372465,0.752910313166092
Feature 13,3,2,fine_tuning 2,0.277068577112753,0.776518883415435
Feature 13,4,1,fine_tuning 1,0.267790092074017,0.78482028241335
Feature 13,4,1,fine_tuning 2,0.242362598792276,0.813031616112983
Feature 13,4,2,fine_tuning 1,0.3611907605646753,0.755598831548198
Feature 13,4,2,fine_tuning 2,0.292887572325793,0.799804289325613
