LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,f1_avg,eval_loss_1,eval_loss_2,eval_loss_3,eval_loss_4,eval_loss_avg,prec_1,prec_2,prec_3,prec_4,prec_avg,rec_1,rec_2,rec_3,rec_4,rec_avg
Eng,Dut,0.813821989528795,0.827479017718371,0.803152872847956,0.812621569051221,0.8142688622865857,0.253948580770985,0.2455297292301982,0.275855784625811,0.25750194956819,0.6968265787412464,0.790319300386414,0.8082995951417,0.77502001601281,0.791245791245791,0.7912211756966788,0.83876537880423,0.847590745064742,0.833405079638398,0.835184362505553,0.8387363915032308
Dut,Eng,0.716451779267663,0.723120837297811,0.707584211613969,0.707258983121052,0.7136039528251238,0.502276511995139,0.4728873654305847,0.51201806772509,0.502632232435089,0.8792317030388295,0.69197051205419,0.696963521499898,0.675745016775212,0.675301562191022,0.6849951531300805,0.742728828058169,0.751318101933216,0.742572110171329,0.742391304347826,0.7447525861276351
Eng,Spn,0.635019635019635,0.679665099208624,0.665047420772611,0.66980482204362,0.6623842442611224,0.660834088860333,0.563054493772731,0.675317247201439,0.5519965004936,0.9720369591388429,0.603512623490669,0.645252613240418,0.637472283813747,0.636066288704753,0.6305759523123968,0.669997562758956,0.717954930942573,0.695116054158607,0.707322987390882,0.6975978838127544
Spn,Eng,0.694285714285714,0.702629098146014,0.69813459754715,0.706028075970272,0.7002693714872874,0.566224263427875,0.504932722635348,0.516032693140261,0.456445231615618,0.8846755470459384,0.663934426229508,0.671471471471471,0.665161036920659,0.672169811320754,0.668184186485598,0.72754491017964,0.736818980667838,0.734547820429407,0.743478260869565,0.7355974930366126
Dut,Spn,0.852544999403981,0.8555581779561,0.836406341749853,0.857379964433906,0.85047237088596,0.3220960081460942,0.291284432662038,0.3397497502636566,0.268045091021045,0.7324727123576988,0.83434437704153,0.833908442604094,0.813199360584608,0.838784504755277,0.8300591712463773,0.871557397026565,0.878362006299975,0.860976789168278,0.876818622696411,0.8719287037978072
Spn,Dut,0.835237586759209,0.847216408539137,0.81594768484337,0.827309236947791,0.8314277292723768,0.2483703164059117,0.2551577729194866,0.3093632728292086,0.292290665024559,0.7125060635649197,0.826500422654268,0.83550051599587,0.0,0.80895775843769,0.617739674271957,0.844161450464062,0.859265548715771,0.832544123977615,0.846512661039537,0.8456209460492462
