FEATURE,DATASET,EXPERIMENT,FINE_TUNING,eval_loss,f1 score
Feature 6,3,1,fine_tuning 2,0.23867315453775,0.83848545820376
Feature 6,3,2,fine_tuning 1,0.433071142015465,0.719214534777023
Feature 6,3,2,fine_tuning 2,0.558136565717765,0.732468509118255
Feature 6,4,1,fine_tuning 1,0.2936945553866441,0.803082502266545
Feature 6,4,1,fine_tuning 2,0.288774418689118,0.815077847582627
Feature 6,4,2,fine_tuning 1,0.464333662311272,0.722865013774104
Feature 6,4,2,fine_tuning 2,0.4286206552377039,0.733907566916736
Feature 7,1,1,fine_tuning 1,0.34205371624985,0.753541532517707
Feature 7,1,1,fine_tuning 2,0.315928960348708,0.792483395431718
Feature 7,1,2,fine_tuning 1,0.3675750960298019,0.765831857660848
Feature 7,1,2,fine_tuning 2,0.510228467473472,0.738780588967233
Feature 7,2,1,fine_tuning 1,0.317553180259197,0.764640695592873
Feature 7,2,1,fine_tuning 2,0.3275921411507571,0.786185620018853
Feature 7,2,2,fine_tuning 1,0.3836525951765532,0.760129794492054
Feature 7,2,2,fine_tuning 2,0.3916279535084921,0.777703156480859
Feature 7,3,1,fine_tuning 1,0.3112309219590422,0.780984996738421
Feature 7,3,1,fine_tuning 2,0.3008160850924254,0.792782400922798
Feature 7,3,2,fine_tuning 1,0.414288523557308,0.750190985485103
Feature 7,3,2,fine_tuning 2,0.4348337254213059,0.765968362548097
Feature 7,4,1,fine_tuning 1,0.4051115542375448,0.776409483119711
Feature 7,4,1,fine_tuning 2,0.3450578532405522,0.788586910507154
Feature 7,4,2,fine_tuning 1,0.415026701293433,0.74621848739495
Feature 7,4,2,fine_tuning 2,0.438139164507447,0.735212917259265
Feature 8,1,1,fine_tuning 1,0.225315616717981,0.857240030609641
Feature 8,1,1,fine_tuning 2,0.2202223467224137,0.858667118299602
Feature 8,1,2,fine_tuning 1,0.1615016547430594,0.845547863451897
Feature 8,1,2,fine_tuning 2,0.164100723627437,0.866327727806022
Feature 8,2,1,fine_tuning 1,0.23945432583037,0.854352584610203
