DIST,LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev
0.0,Tat,Tat,96.9818913480885,97.75401069518709,96.9592984462872,97.0383275261324,97.18338200392381,0.10936745750305095,0.3307075105029382
0.0,Swd,Swd,96.78687235924141,95.75457694210779,96.3179998046684,96.7213114754098,96.39519014535685,0.16902842586541084,0.41113066762941786
0.0,Alb,Alb,94.8937344741926,93.825799338478,93.916609706083,94.5957152729785,94.30796469793302,0.2028921969306286,0.4504355635722257
0.0,SCr,SCr,94.1335131490222,93.50093607916551,93.3016250495441,93.3636606903933,93.57493374203128,0.10920513794035161,0.3304620068031295
0.0,Bsq,Bsq,92.1786147105434,92.3931463001318,92.55888148634699,91.59342758884209,92.18101752146607,0.13326187427878225,0.36505050921589227
0.0,Blg,Blg,91.6964790058369,91.7617960426179,91.8720918720918,90.85004775549179,91.5451036690096,0.16497352131264734,0.4061693259130327
0.0,Sln,Sln,91.7536656891495,91.5731623540187,91.2735849056603,91.39926040796851,91.49991833919927,0.03277781139270736,0.18104643435513265
0.0,Rom,Rom,90.9045226130653,91.2880258899676,91.8754745634016,90.9803921568627,91.2621038058243,0.1460303508182226,0.382139177287834
0.0,Arm,Arm,90.99599534943799,90.9920479728848,91.16460637605721,91.4003637308391,91.13825335730478,0.02775242118682216,0.16659057952604092
0.0,Ukr,Ukr,90.34965034965029,90.9394982784062,90.78042459882379,91.2087912087912,90.81959110891786,0.09705819494251308,0.3115416423891244
0.0,Wel,Wel,90.364913088523,90.18881037877901,90.85941946499709,90.86126043692092,90.568600842305,0.08898865171282991,0.29830965742467996
0.0,Nor,Nor,90.0266350991417,90.562980963953,90.55555555555551,90.39271374008419,90.38447133968361,0.04731255177170818,0.21751448634908935
0.0,Ltv,Ltv,90.25606917193208,90.28776978417258,90.43458781362,89.824403421882,90.20070754790166,0.05173737908792084,0.22745852168674807
0.0,Hng,Hng,89.0467366687255,89.88599518878772,89.50321330205,89.5287415846711,89.49117168605856,0.08874114518414974,0.29789452023182594
0.0,Est,Est,90.01511335012592,88.8934594816947,88.89328454158829,89.5283606897984,89.33255451580183,0.22249729482803368,0.47169618911756506
0.0,It,It,89.6804046056171,88.67191601049859,89.42166140904308,88.9594580290039,89.18336001354066,0.1538869871345078,0.39228431925646456
0.0,Brt,Brt,89.1791441010937,87.5534598091896,89.74778905994101,90.0215982721382,89.12549781059063,0.9161059596343776,0.9571342432670443
0.0,Lit,Lit,88.94039735099331,89.3697713329615,88.2929000667705,89.19382504288158,88.94922344840174,0.16688218612527653,0.4085121615390128
0.0,Cz,Cz,88.1421713818813,88.0938063740228,88.2037804508238,88.16793893129771,88.1519242845064,0.001604585381395562,0.040057276260319574
0.0,Trk,Trk,88.09204647006248,88.352890047805,88.58093126385799,87.36305456123222,88.09723058573942,0.2095923541431453,0.4578125753440433
0.0,Dut,Dut,87.4343867166577,87.52500263185591,88.83453849425771,87.7941499890037,87.89701945794376,0.3104874108233468,0.5572139722075774
0.0,Rus,Rus,87.6491053677932,88.7509312143034,87.3972266535771,87.5233703103577,87.83015838650786,0.2905379012596593,0.5390156781204599
0.0,Fin,Fin,88.38639293860949,87.41614149217301,86.8908578332662,87.98947687949,87.67071728588466,0.3216972297502094,0.5671835943944513
0.0,Pol,Pol,87.56712102437,86.7904949673134,88.18352615445458,87.4975154044921,87.50966438765752,0.24368579970080245,0.4936454190011313
0.0,Spn,Spn,86.81610026512409,87.95673076923069,85.99856149604408,88.3866314017792,87.28950598304452,0.884880935502879,0.9406811019165204
0.0,Grk,Grk,87.46922986754191,87.1855438762253,88.0460310004696,86.431204661672,87.2830023514772,0.337987716419675,0.5813671098537266
0.0,Prt,Prt,86.1443641104658,86.82903759754069,85.690981123281,87.04651162790691,86.42772361479861,0.29175840635353245,0.5401466526356823
0.0,Fr,Fr,86.6817155756207,85.58388066347541,84.6486846486846,85.8048449173647,85.67978145128635,0.5229676093728742,0.7231649945709998
0.0,Grg,Grg,85.45717142539709,86.0717813631873,85.3464681517967,85.3175047597715,85.54823142503815,0.0940849184411955,0.30673264978022063
0.0,Grm,Grm,83.4218916046758,83.8461538461538,83.09844230157879,83.36828859060401,83.4336940857531,0.07173349752428476,0.26783109887443013
0.0,Eng,Eng,77.8740490278951,78.11491284699798,77.8085106382978,77.8421278421278,77.90990008882967,0.014547106921021638,0.12061138802377509
