DIST,LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,f1_avg,eval_loss_1,eval_loss_2,eval_loss_3,eval_loss_4,eval_loss_avg,prec_1,prec_2,prec_3,prec_4,prec_avg,rec_1,rec_2,rec_3,rec_4,rec_avg
0.0,Brt,Brt,0.891791441010937,0.875534598091896,0.89747789059941,0.900215982721382,0.8912549781059063,0.1567168915261702,0.1627685094876389,0.1524793040001887,0.144304140821261,0.6133750840869049,0.880478087649402,0.868770402611534,0.889610389610389,0.891360136869118,0.8825547541851108,0.903399311531841,0.882404951370468,0.905485789821546,0.909249563699825,0.90013490410592
0.0,Eng,Eng,0.778740490278951,0.78114912846998,0.778085106382978,0.778421278421278,0.7790990008882966,0.291525486852326,0.282870183493329,0.281501338471759,0.28384165867,0.7142171209985213,0.769632414369256,0.765499789118515,0.763624973898517,0.768204911092294,0.7667405221196455,0.788066723695466,0.797451669595782,0.793103448275862,0.78891304347826,0.7918837212613425
0.0,Bsq,Bsq,0.921786147105434,0.923931463001318,0.92558881486347,0.915934275888421,0.9218101752146608,0.1006248425321348,0.095480828536013,0.0845851074925245,0.120657974370345,0.576466981098751,0.913188031030661,0.91685351270553,0.919806042521447,0.908815165876777,0.9146656880336037,0.930547713156408,0.93111954459203,0.931444759206798,0.92316580011554,0.929069454267694
0.0,Ukr,Sln,0.740500463392029,0.710745638404267,0.749444639307845,0.706225908188295,0.726729162323109,0.33031880231617,0.4090558361041276,0.312043211144119,0.364260360340045,0.7516555934500836,0.724552255724325,0.684649967886962,0.735091743119266,0.68782707622298,0.7080302607383832,0.757166548211324,0.73890942698706,0.764369186739804,0.725636101776284,0.746520315928618
0.0,Ukr,Pol,0.729623500206868,0.721913353613762,0.753138902619871,0.748374187093546,0.7382624858835117,0.3502028660450847,0.371979664429637,0.3600613342886659,0.365375511437881,0.768909927942908,0.724825318536785,0.722443837917279,0.746862745098039,0.748299319727891,0.7356078053199985,0.734485630987088,0.721383647798742,0.759521435692921,0.74844906944166,0.7409599459801027
0.0,Sln,Ukr,0.628433928213354,0.661984370363042,0.641439688715953,0.623225053491538,0.6387707601959718,0.546106865264457,0.583830737250861,0.4621475162465527,0.567843898868476,0.8940245700948714,0.626048741510187,0.658661417322834,0.622898167390893,0.60418630963605,0.627948658964991,0.630837359098228,0.665341022071982,0.66111890916382,0.643502711387828,0.6502000004304644
0.0,Sln,Sln,0.917536656891495,0.915731623540187,0.912735849056603,0.913992604079685,0.9149991833919925,0.1350632985934129,0.1402201820634952,0.1363890762234537,0.1253238292702,0.5991940510217666,0.908689591078066,0.907625964593735,0.902729181245626,0.908465733934076,0.9068776177128757,0.926557687751717,0.92398336414048,0.922966849511089,0.91958713394143,0.9232737588361789
0.0,Sln,Pol,0.766380016380016,0.755230341131608,0.769003544702638,0.743904817632143,0.7586296799616012,0.358629552229906,0.390730650741344,0.342661993920217,0.4145251361045444,0.7789541705636668,0.753725332259363,0.742752888708696,0.759579848278545,0.725508845349058,0.7453917286489156,0.779466888796334,0.768134171907756,0.778664007976071,0.763257954772863,0.7723807558632559
0.0,Pol,Ukr,0.603536794067313,0.603816576473939,0.58353074954989,0.594080137051489,0.5962410642856577,0.503017684151833,0.511762678142234,0.4556387805078231,0.43770784938909,0.8490910785121866,0.571891891891891,0.577761627906976,0.553180021559468,0.56458031837916,0.5668534649343737,0.638888888888888,0.632332471664346,0.617405253659514,0.62683269732878,0.628864827885382
0.0,Pol,Sln,0.798145425760488,0.786761439360284,0.788435061955025,0.773883161512027,0.786806272146956,0.294697253564219,0.2793093034418238,0.285641616569971,0.296013902764857,0.7190881932247618,0.763522284725227,0.757485029940119,0.75967278355074,0.740140227870289,0.7552050815215938,0.836057806207059,0.818391866913123,0.819461006439303,0.810849735957753,0.8211901038793096
