feature,average_dist_over_feat,language,index_org,Hasfeature,dist
1,1.3728399973829621,Grk,4,True,2.0
1,1.3728399973829621,Spn,5,True,1.7320508075688772
1,1.3728399973829621,Prt,6,True,1.7320508075688772
1,1.3728399973829621,It,7,True,1.7320508075688772
1,1.3728399973829621,Alb,8,True,1.7320508075688772
1,1.3728399973829621,Rom,9,True,1.4142135623730951
1,1.3728399973829621,Rus,10,False,1.7320508075688772
1,1.3728399973829621,Swd,12,True,2.23606797749979
1,1.3728399973829621,Hng,13,True,1.7320508075688772
1,1.3728399973829621,Cz,14,False,1.4142135623730951
1,1.3728399973829621,Ltv,15,False,1.0
1,1.3728399973829621,Lit,16,False,1.0
1,1.3728399973829621,SCr,17,False,1.0
1,1.3728399973829621,Blg,18,False,1.0
1,1.3728399973829621,Pol,19,False,0.0
1,1.3728399973829621,Sln,20,False,0.0
1,1.3728399973829621,Ukr,21,False,0.0
1,1.3728399973829621,Fin,24,False,2.0
1,1.3728399973829621,Est,27,False,2.0
1,1.3728399973829621,Arm,28,False,2.0
2,1.4439157588755425,Spn,5,True,2.0
2,1.4439157588755425,Prt,6,True,2.0
2,1.4439157588755425,It,7,True,2.0
2,1.4439157588755425,Alb,8,True,2.0
2,1.4439157588755425,Rom,9,True,1.7320508075688772
2,1.4439157588755425,Rus,10,True,1.7320508075688772
2,1.4439157588755425,Hng,13,True,2.0
2,1.4439157588755425,Cz,14,True,1.4142135623730951
2,1.4439157588755425,Ltv,15,True,1.0
2,1.4439157588755425,Lit,16,True,1.0
2,1.4439157588755425,SCr,17,True,1.0
2,1.4439157588755425,Blg,18,True,1.0
2,1.4439157588755425,Pol,19,True,0.0
2,1.4439157588755425,Sln,20,True,0.0
2,1.4439157588755425,Ukr,21,True,0.0
2,1.4439157588755425,Bsq,22,False,2.0
2,1.4439157588755425,Fin,24,True,2.0
2,1.4439157588755425,Est,27,True,2.0
2,1.4439157588755425,Arm,28,True,2.0
2,1.4439157588755425,Tat,30,False,2.0
3,1.3633610117286055,Grm,1,True,2.0
3,1.3633610117286055,Grk,4,True,1.7320508075688772
3,1.3633610117286055,Spn,5,True,1.4142135623730951
3,1.3633610117286055,Prt,6,True,1.4142135623730951
3,1.3633610117286055,It,7,True,1.4142135623730951
3,1.3633610117286055,Alb,8,True,2.0
3,1.3633610117286055,Rom,9,True,1.7320508075688772
3,1.3633610117286055,Rus,10,False,2.0
3,1.3633610117286055,Nor,11,True,2.0
3,1.3633610117286055,Swd,12,True,2.0
3,1.3633610117286055,Hng,13,False,1.7320508075688772
3,1.3633610117286055,Cz,14,True,0.0
3,1.3633610117286055,Ltv,15,False,1.4142135623730951
3,1.3633610117286055,Lit,16,False,1.4142135623730951
3,1.3633610117286055,SCr,17,False,0.0
3,1.3633610117286055,Blg,18,False,0.0
3,1.3633610117286055,Pol,19,False,1.0
3,1.3633610117286055,Sln,20,False,1.0
3,1.3633610117286055,Ukr,21,False,1.0
3,1.3633610117286055,Bsq,22,False,2.0
4,1.269615242270663,Grk,4,True,2.0
4,1.269615242270663,Spn,5,True,1.7320508075688772
4,1.269615242270663,Prt,6,True,1.7320508075688772
4,1.269615242270663,It,7,True,1.7320508075688772
4,1.269615242270663,Alb,8,False,2.0
4,1.269615242270663,Rom,9,False,1.7320508075688772
4,1.269615242270663,Rus,10,False,1.7320508075688772
4,1.269615242270663,Hng,13,True,1.7320508075688772
4,1.269615242270663,Cz,14,True,1.0
4,1.269615242270663,Ltv,15,False,1.0
4,1.269615242270663,Lit,16,False,1.0
4,1.269615242270663,SCr,17,True,0.0
4,1.269615242270663,Blg,18,True,0.0
4,1.269615242270663,Pol,19,False,0.0
4,1.269615242270663,Sln,20,False,0.0
4,1.269615242270663,Ukr,21,False,0.0
4,1.269615242270663,Bsq,22,True,2.0
4,1.269615242270663,Fin,24,False,2.0
4,1.269615242270663,Est,27,False,2.0
4,1.269615242270663,Arm,28,False,2.0
5,1.4037233800108742,Spn,5,True,2.0
5,1.4037233800108742,Prt,6,True,2.0
5,1.4037233800108742,It,7,True,2.0
5,1.4037233800108742,Alb,8,True,2.0
5,1.4037233800108742,Rom,9,True,1.7320508075688772
5,1.4037233800108742,Rus,10,True,1.7320508075688772
5,1.4037233800108742,Hng,13,True,2.0
5,1.4037233800108742,Cz,14,True,1.4142135623730951
5,1.4037233800108742,Ltv,15,True,1.0
5,1.4037233800108742,Lit,16,True,1.0
5,1.4037233800108742,SCr,17,True,1.0
5,1.4037233800108742,Blg,18,True,1.0
5,1.4037233800108742,Pol,19,True,0.0
5,1.4037233800108742,Sln,20,True,0.0
5,1.4037233800108742,Ukr,21,True,0.0
5,1.4037233800108742,Bsq,22,False,2.0
5,1.4037233800108742,Fin,24,False,1.7320508075688772
5,1.4037233800108742,Grg,25,False,2.0
5,1.4037233800108742,Est,27,False,1.7320508075688772
5,1.4037233800108742,Arm,28,False,1.7320508075688772
6,1.3739354332309537,Grm,1,True,2.23606797749979
6,1.3739354332309537,Grk,4,True,2.0
6,1.3739354332309537,Spn,5,False,2.0
6,1.3739354332309537,Prt,6,False,2.0
6,1.3739354332309537,It,7,False,2.0
6,1.3739354332309537,Alb,8,False,2.0
6,1.3739354332309537,Rom,9,True,1.4142135623730951
6,1.3739354332309537,Rus,10,True,1.4142135623730951
6,1.3739354332309537,Hng,13,False,2.0
6,1.3739354332309537,Cz,14,False,1.4142135623730951
6,1.3739354332309537,Ltv,15,False,1.0
6,1.3739354332309537,Lit,16,True,0.0
6,1.3739354332309537,SCr,17,False,1.0
6,1.3739354332309537,Blg,18,False,1.0
6,1.3739354332309537,Pol,19,False,0.0
6,1.3739354332309537,Sln,20,False,0.0
6,1.3739354332309537,Ukr,21,False,0.0
6,1.3739354332309537,Fin,24,False,2.0
6,1.3739354332309537,Est,27,False,2.0
6,1.3739354332309537,Arm,28,False,2.0
7,1.4171208396324302,Spn,5,True,2.0
7,1.4171208396324302,Prt,6,True,2.0
7,1.4171208396324302,It,7,True,2.0
7,1.4171208396324302,Alb,8,True,2.0
7,1.4171208396324302,Rom,9,True,1.7320508075688772
7,1.4171208396324302,Rus,10,True,1.7320508075688772
7,1.4171208396324302,Hng,13,True,2.0
7,1.4171208396324302,Cz,14,True,1.4142135623730951
7,1.4171208396324302,Ltv,15,True,1.0
7,1.4171208396324302,Lit,16,True,1.0
7,1.4171208396324302,SCr,17,True,1.0
7,1.4171208396324302,Blg,18,True,1.0
7,1.4171208396324302,Pol,19,True,0.0
7,1.4171208396324302,Sln,20,True,0.0
7,1.4171208396324302,Ukr,21,True,0.0
7,1.4171208396324302,Fin,24,True,2.0
7,1.4171208396324302,Grg,25,False,2.0
7,1.4171208396324302,Est,27,False,1.7320508075688772
