feature,average_dist_over_feat,language,index_org,Hasfeature,dist
1,0.8560477932315067,It,7,True,1.7320508075688772
1,0.8560477932315067,Rom,9,True,1.4142135623730951
1,0.8560477932315067,Cz,14,False,1.4142135623730951
1,0.8560477932315067,Ltv,15,False,1.0
1,0.8560477932315067,Lit,16,False,1.0
1,0.8560477932315067,SCr,17,False,1.0
1,0.8560477932315067,Blg,18,False,1.0
1,0.8560477932315067,Pol,19,False,0.0
1,0.8560477932315067,Sln,20,False,0.0
1,0.8560477932315067,Ukr,21,False,0.0
2,0.8878315177510849,Rom,9,True,1.7320508075688772
2,0.8878315177510849,Rus,10,True,1.7320508075688772
2,0.8878315177510849,Cz,14,True,1.4142135623730951
2,0.8878315177510849,Ltv,15,True,1.0
2,0.8878315177510849,Lit,16,True,1.0
2,0.8878315177510849,SCr,17,True,1.0
2,0.8878315177510849,Blg,18,True,1.0
2,0.8878315177510849,Pol,19,True,0.0
2,0.8878315177510849,Sln,20,True,0.0
2,0.8878315177510849,Ukr,21,True,0.0
3,0.8146264369941972,It,7,True,1.7320508075688772
3,0.8146264369941972,Rom,9,True,1.4142135623730951
3,0.8146264369941972,Cz,14,True,1.0
3,0.8146264369941972,Ltv,15,False,1.0
3,0.8146264369941972,Lit,16,False,1.0
3,0.8146264369941972,SCr,17,False,1.0
3,0.8146264369941972,Blg,18,False,1.0
3,0.8146264369941972,Pol,19,False,0.0
3,0.8146264369941972,Sln,20,False,0.0
3,0.8146264369941972,Ukr,21,False,0.0
4,0.6464101615137754,Prt,6,True,1.7320508075688772
4,0.6464101615137754,It,7,True,1.7320508075688772
4,0.6464101615137754,Cz,14,True,1.0
4,0.6464101615137754,Ltv,15,False,1.0
4,0.6464101615137754,Lit,16,False,1.0
4,0.6464101615137754,SCr,17,True,0.0
4,0.6464101615137754,Blg,18,True,0.0
4,0.6464101615137754,Pol,19,False,0.0
4,0.6464101615137754,Sln,20,False,0.0
4,0.6464101615137754,Ukr,21,False,0.0
5,0.8878315177510849,Rom,9,True,1.7320508075688772
5,0.8878315177510849,Rus,10,True,1.7320508075688772
5,0.8878315177510849,Cz,14,True,1.4142135623730951
5,0.8878315177510849,Ltv,15,True,1.0
5,0.8878315177510849,Lit,16,True,1.0
5,0.8878315177510849,SCr,17,True,1.0
5,0.8878315177510849,Blg,18,True,1.0
5,0.8878315177510849,Pol,19,True,0.0
5,0.8878315177510849,Sln,20,True,0.0
5,0.8878315177510849,Ukr,21,True,0.0
6,0.7242640687119285,Rom,9,True,1.4142135623730951
6,0.7242640687119285,Rus,10,True,1.4142135623730951
6,0.7242640687119285,Cz,14,False,1.4142135623730951
