DIST,LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,f1_avg,eval_loss_1,eval_loss_2,eval_loss_3,eval_loss_4,eval_loss_avg,prec_1,prec_2,prec_3,prec_4,prec_avg,rec_1,rec_2,rec_3,rec_4,rec_avg
0.0,Cz,Ukr,0.632981449215947,0.668911119661408,0.690567484662576,0,0.49811501338498276,0.399658704856454,0.4275210895903513,0.39772069783326,0,0.6993448506724286,0.630204081632653,0.634604854900529,0.669143600222924,0,0.4834881341890265,0.635783405394276,0.707138499084807,0.713408595761536,0,0.5140826250601548
0.0,Cz,Sln,0.793473401877514,0.81089154411764,0.803492459462524,0,0.6019643513644195,0.30651909869056,0.272964774591338,0.2706229723700291,0,0.6442855177651472,0.758061071962417,0.778684907325684,0.771055495103373,0,0.5769503685978685,0.832356389214536,0.84587727708533,0.838778409090909,0,0.6292530188476937
0.0,Cz,Pol,0.829705763804917,0.828278770837517,0.818863023279048,0,0.6192118894803705,0.2729395395262328,0.2637737995602366,0.284743204275627,0,0.6394206859504649,0.814119042910816,0.811651249753985,0.805741250491545,0,0.6078778857890865,0.845900965687281,0.845601804387943,0.832419256550883,0,0.6309805066565267
0.0,Cz,Blg,0.828568802279621,0.840600952729937,0.833206542411563,0,0.6255940743552802,0.320356898641863,0.2376006056670484,0.2959667464456971,0,0.65408091127189,0.8052528140075,0.812610697839178,0.807706489675516,0,0.6063925003805486,0.853275274517228,0.870588235294117,0.860369206598586,0,0.6460581791024826
0.0,Cz,SCr,0.4503582395087,0.58190883190883,0.238579734219269,0,0.3177117014091998,1.081008893783103,0.893616866399074,1.862173296965903,0,1.2357955476872515,0.391691394658753,0.529145077720207,0.195109526235354,0,0.2789864996535785,0.529695024077046,0.64636075949367,0.306973016297087,0,0.3707571999669508
0.0,Cz,Lit,0.736456650511577,0.73891304347826,0.750829143040547,0,0.5565497092575961,0.3783268762835489,0.3575298941580517,0.35629802724967,0,0.6836562258833047,0.70147722609766,0.705919003115264,0.7152466367713,0,0.530660716496056,0.775107685332124,0.775142531356898,0.790137356451249,0,0.5850968932850678
0.0,Cz,Ltv,0.658151609553478,0.68507823164969,0.662237462494642,0,0.5013668259244525,0.73700830085843,0.597359228218433,0.655080411724195,0,0.8480221781456563,0.610714973983426,0.639607843137254,0.609107037256061,0,0.4648574635941853,0.713578022967,0.73750847840832,0.72552242310401,0,0.5441522311198326
0.0,Cz,Rus,0.52313207124453,0.618533513270355,0.509102388719351,0,0.412691993308559,0.89404140874642,0.643205956058541,0.819901708246781,0,0.9284857792483002,0.4656031904287138,0.56317837395044,0.4497118423498791,0,0.36962335168225824,0.59688139059304,0.685956597655275,0.586566440349175,0,0.4673511071493725
0.0,Cz,Rom,0.5583575094844,0.623373632700057,0.4693094629156,0,0.41276015127501425,0.846554370426481,0.75164925124706,0.955820157310702,0,0.9505936319342957,0.495838287752675,0.567624239882574,0.404333455747337,0,0.36694899584564655,0.638917262512768,0.691266598569969,0.559167089893346,0,0.47233773774402077
0.0,Cz,Grk,0.735853379152348,0.76195925841153,0.752749770852428,0,0.5626406021040765,0.33775533184173,0.295413360371584,0.2654118187148386,0,0.6507917876391421,0.697048611111111,0.728924895992993,0.72071083808688,0,0.536671086297746,0.779233381853469,0.798129944857348,0.787769784172661,0,0.5912832777208695
0.0,Ltv,SCr,0.43138626559403,0.424997035455946,0.554408655639845,0,0.3526979891724552,2.438989246815023,1.578011207072667,1.174066933420674,0,1.4032640450589242,0.385336388252447,0.3796610169491525,0.518492672714584,0,0.3208725194790459,0.489936440677966,0.4826286022084567,0.595670764297167,0,0.39205895179589745
0.0,Ltv,Blg,0.77045304076421,0.800144953795977,0.788288288288288,0,0.5897215707121187,0.3485713330687224,0.320599348149306,0.361467048809743,0,0.6775095954696164,0.73692780893794,0.76706618030224,0.754830917874396,0,0.564706226778644,0.807173999207292,0.836205264154516,0.824849170437405,0,0.6170571084498033
0.0,Ltv,Pol,0.736726106992586,0.75507083885434,0.761726816796145,0,0.5633809406607677,0.438669703181006,0.3964234762693899,0.40185534518306,0,0.7101312620910165,0.724389282899921,0.732160506028859,0.73968678380443,0,0.5490591431833025,0.749490419894007,0.779461279461279,0.785120616257855,0,0.5785180789032852
0.0,Ltv,Sln,0.76850711165864,0.79595395884199,0.785500575373993,0,0.5874904114686558,0.3423270979298261,0.264741309191004,0.31606546476644,0,0.6645981406740665,0.73046625505641,0.770598829356145,0.75375441696113,0,0.5637048753434213,0.810727788279773,0.8230343832652,0.82003844305622,0,0.6134501536502982
1.4142135623730951,Dut,Nor,0.844281757024139,0.829974057074436,0.849874812218327,0,0.6310326565792255,0.189177727660693,0.1881402528379112,0.1758209483494693,0,0.5912496690025406,0.82677775624878,0.810089598753408,0.83228717143978,0,0.6172886316104921,0.86254295532646,0.850859247135842,0.868221812973194,0,0.645406003858874
1.4142135623730951,Sln,Nor,0.82733018962576,0.806876445159344,0.83306122448979,0,0.6168169648187235,0.226976573702818,0.224552335244376,0.1961323428221873,0,0.6057772291312514,0.81773105910353,0.799561665670452,0.831195275911219,0,0.6121220001713003,0.837157360406091,0.814326298701298,0.834935569646144,0,0.6216048071883833
1.4142135623730951,Dut,Swd,0.786020379011522,0.795825683640931,0.661981606802012,0,0.5609569173636163,0.261555505959107,0.44117908707728,0.405233728485138,0,0.6666973086110612,0.762705599704306,0.781849250047465,0.5922993324018,0,0.5342135455383927,0.810805500982318,0.810310901219992,0.750245821042281,0,0.5928405558111477
1.4142135623730951,Sln,Swd,0.744472910143277,0.767686424474187,0.741917293233082,0,0.5635191569626365,0.320653136535941,0.46490949544943,0.303626383421942,0,0.6560698799894708,0.712366079535137,0.746005202526941,0.712454873646209,0,0.5427065389270718,0.77961049284578,0.790665616384403,0.77392156862745,0,0.5860494194644082
1.4142135623730951,SCr,Brt,0.72488898287164,0.699925697908926,0.706006100767855,0,0.5327051953871053,0.614349130998002,0.780741468504805,0.661212709365071,0,0.8188904600907683,0.69902120717781,0.672308319738988,0.674030929905603,0,0.5113401142056002,0.752744839701361,0.729909231791011,0.74116607773851,0,0.5559550373077204
